Date	Mrkrs	Document_Title	Procedural_Step	Case_Num	Environmental_Analysis	Notes	Document_URL
1/12/2022	🔒🟢	DelapavsWCC_Docket001_OCR2		338-0706	Formal legal challenge to WCC denial; 3 counts: certiorari, by-law not stricter, Commission lacked withdrawal discretion	Superior Court Filing – Petition for Certiorari (31 pages)	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_01_12_DelapavsWCC_Docket001_OCR2.pdf
1/12/2022	🔒	DelapavsWCC_Docket002_OCR2		338-0706	Procedural filing for court case	Superior Court Filing – Certificate of Service of Petition	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_01_12_DelapavsWCC_Docket002_OCR2.pdf
2/7/2022	🔒🟢	Legal Negotiation		338-0706	Settlement negotiations begin between parties	Legal negotiation documentation	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_02_07%20Legal%20Negotiation.pdf
2/8/2022	🔒	Goddard Information Request		338-0706	Response to DEP with revised plans dated Jan 31, 2022	Goddard submits information request response	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_02_08_Goddard_Requested_Information.pdf
2/25/2022	🔒🟢	Blsf Cut Fill Chart		338-0706	Technical submission responding to DEP request	BLSF cut/fill chart submitted	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_02_25-DEP-0706-Goddard_Requested_Information.pdf
3/7/2022	🔒🟢	Letter from DEP to Delapa		338-0706	DEP identifies technical issues with application	Inconsistent floodplain elevations noted	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_03_07%20Letter%20from%20DEP%20to%20Delapa.pdf
3/14/2022	🔒	Delapa Letter		338-0706	Response to DEP with new revised plans dated March 8, 2022	Delapa letter submitting plan revisions	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_03_14%20Delapa%20Letter.pdf
3/21/2022	📧	Email Donahoe - Catrone	Communication between peer reviewer and WCC administrator	338-0706	Email correspondence		https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_03_21%20Email%20Donahoe%20-%20Catrone%20.pdf
3/28/2022	📧	Brian Donahoe - Karon email	Peer reviewer communication	338-0706	Brian Donahoe correspondence		https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_03_28%20Brian%20Donahoe%20-%20Karon%20email.pdf
3/31/2022	🔒	DelapavsWCC_Docket003_OCR2		338-0706	Court filing with attorney affidavit	Superior Court Filing – Certificate of Service Documents (Rachel Watsky affidavit)	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_03_31_DelapavsWCC_Docket003_OCR2.pdf
3/31/2022	🔒	DelapavsWCC_Docket004_OCR2		338-0706	Procedural court filing	Superior Court Filing – Acceptance of Service	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_03_31_DelapavsWCC_Docket004_OCR2.pdf
4/1/2022	🔒🟢	Re Request of Suerpseding Order Letter from Town Counsel		338-0706	Town Counsel challenges SOC request with pointed questions	Letter responding to superseding order request	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_04_01%20Re%20Request%20of%20Suerpseding%20Order%20Letter%20from%20Town%20Counsel.pdf
4/12/2022		Civil Tracking Order		338-0706			
4/20/2022	🔒	DelapavsWCC_Docket005_OCR2		338-0706	WCC legal defense strategy	Superior Court Filing – Answer denying claims and asserting affirmative defenses	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_04_20_DelapavsWCC_Docket005_OCR2.pdf
5/6/2022	🔒🟢✅	Superseding Order of Conditions	**SOC issued**	338-0706	DEP overrules WCC denial; state authority supersedes local decision with conditions	WPA Form 5 with reserved rights for additional issues	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_05_06_Superseding%20Order%20of%20Conditions.pdf
5/7/2022		Note on SOC Covid Extension	Legal clarification on permit validity	338-0706	COVID extension does NOT apply to SOC		https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_05_07%20Note%20on%20SOC%20Covid%20Extension
5/19/2022	🔒🟢	338-0706 Letter from Town Counsel		338-0706	Town Counsel identifies additional regulatory gap	Shared driveway issue - no planning board order	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_05_19%20338-0706%20Letter%20from%20Town%20Counsel.pdf
8/14/2022	🔒	DelapavsWCC_Docket006_OCR2		338-0706	Court manages case progress	Superior Court Order – Status Review (update required by 09/09/2022)	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_08_14_DelapavsWCC_Docket006_OCR2.pdf
8/23/2022	🔒	Notice - Order of Status Review		338-0706	Court administrative notice	Notice of Status Review Order	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_08_23%20Notice%20-%20Order%20of%20Status%20Review.pdf
9/8/2022	🔒🟢	DelapavsWCC_Docket007_OCR2		338-0706	Settlement negotiations progress; parties need time for formal approval	Superior Court Filing – Joint Status Report	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_09_08_DelapavsWCC_Docket007_OCR2.pdf
9/9/2022	🔒	DelapavsWCC_Docket008_OCR2		338-0706	Court grants additional time for settlement completion	Superior Court Order – Status review continued to November 9, 2022	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_09_09_DelapavsWCC_Docket008_OCR2.pdf
9/12/2022	🔒🟢	letter from Goddard		338-0706	Settlement proposal with financial cap	Goddard proposes dam repair with $25,000 cost cap	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_09_12%20letter%20from%20Goddard.pdf
9/12/2022	🔒🟢	Unsigned Settlement Agreement		338-0706	Draft settlement terms negotiated	WCC accepts SOC, Delapa repairs dam, new NOI required	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_09_12%20Unsigned%20Settlement%20Agreement.pdf
10/26/2022	🔒🟢✅	42 Mill Street signed MOU 10-26-2022	**Settlement executed**	338-0706	Legal dispute resolved; Commission adopts DEP SOC with conditions: Delapa repairs dam first, then building permit	MOU with $25,000 cost cap	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_10_26_42%20Mill%20Street%20signed%20MOU%2010-26-2022.pdf
12/19/2022	🔒🟢⏰	Referenced in SOC	**FORAD expires**	338-0594	Critical regulatory protection expires; site returns to undelineated status requiring new wetland delineation	6-year term ends (3+3 extension)	
12/20/2022	🔒	DelapavsWCC_Docket009_OCR2		338-0706	Court docket entry - Joint status update		https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_12_20_DelapavsWCC_Docket009_OCR2.pdf
1/18/2023	🐢	WCC Hearing Continued		338-0706			
3/27/2023	🔒	DelapavsWCC_Docket010_OCR2		338-0706	Court docket entry - Status review order		https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2023_03_27_DelapavsWCC_Docket010_OCR2.pdf
4/24/2023	🔒	DelapavsWCC_Docket011_OCR2		338-0706	Status review - case settled, 60-day order issued		https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2023_04_24_DelapavsWCC_Docket011_OCR2.pdf
4/24/2023	🔒🟢	DelapavsWCC_Docket012_OCR2		338-0706	Court action contingent on settlement completion	Superior Court Order – Dismissal Nisi	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2023_04_24_DelapavsWCC_Docket012_OCR2.pdf
5/22/2023	🟢	Dam_Restoration_Site_Plan_Figure4		338-0756	Technical engineering submission for dam project	Dam restoration site plan Figure 4	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2023_05_22_Dam_Restoration_Site_Plan_Figure4.pdf
5/23/2023	🟢⭐	WPA_Form_3_NOI_Dam_Restoration	**NOI**	338-0756	Dam restoration application per settlement agreement requirements	WPA Form 3 for dam restoration	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2023_05_23_WPA_Form_3_NOI_Dam_Restoration.pdf
5/27/2023	📧	DeMelle - Catrone Dam Ownership	Legal questions about dam ownership responsibility	338-0756	Community inquiry on dam ownership		https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2023_05_27%20DeMelle%20-%20Catrone%20Dam%20Ownership
6/14/2023		Legal_Notice_Dam_Restoration_Hearing	Public notification for regulatory hearing	338-0756	Legal notice for dam restoration hearing		https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2023_06_14_Legal_Notice_Dam_Restoration_Hearing.pdf
6/22/2023	🔒🟢	DelapavsWCC_Docket013_OCR2		338-0706	Final resolution of legal challenge	Superior Court Filing – Stipulation of Dismissal (with prejudice, parties bear own costs)	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2023_06_22_DelapavsWCC_Docket013_OCR2.pdf
6/28/2023	🐢	WCC Hearing Continued		338-0756	Extended review process for dam restoration	Hearing continued	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2023_06_28%20WCC%20Hearing%20Continued.pdf
6/29/2023		FOIA_REQUEST FORMALLY FILED	Public records request for case documentation	338-0756	DeMelle FOIA request filed		https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2023_06_29_FOIA_REQUEST%20FORMALLY%20FILED
7/12/2023	🟢🏛️	Minutes  Conservation Commission		338-0756	Commission discusses dam project logistics and cost constraints	Dam repair discussion: $25k cap, mini excavator access	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2023_07_12%20Minutes%20%20Conservation%20Commission.pdf
7/26/2023	🟢🏛️	Minutes  Conservation Commission		338-0756	Legal and environmental complications emerge	Dam ownership questioned; beaver removal concerns raised	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2023_07_26%20Minutes%20%20Conservation%20Commission.pdf
9/1/2023	🟢📐	Response-booklet_Mon_Sep_11_2023_09_01-40.pdf		338-0756	Technical response to peer review analysis	Response to BETA peer review citing SOC #338-0706	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2023_09_01%20-%20Response-booklet_Mon_Sep_11_2023_09-01-40.pdf
9/13/2023	🐢	WCC Hearing Continued		338-0756	Extended review process continues	Hearing continued	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2023_09_13%20%20WCC%20Hearing%20Continued.pdf
9/27/2023	🐢	WCC Hearing Continued		338-0756	Extended review process continues	Hearing continued	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2023_09_27%20WCC%20Hearing%20Continued.pdf
10/11/2023	🐢	WCC Hearing Continued		338-0756	Extended review process continues	Hearing continued	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2023_10_11%20%20WCC%20Hearing%20Continued.pdf
10/25/2023	🐢	WCC Hearing Continued		338-0756	Extended review process continues	Hearing continued	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2023_10_25%20%20WCC%20Hearing%20Continued.pdf
11/8/2023	🐢	WCC Hearing Continued		338-0756	Extended review process continues	Hearing continued	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2023_11_08%20%20WCC%20Hearing%20Continued.pdf
12/13/2023	🐢	WCC Hearing Continued		338-0756	Extended review process continues	Hearing continued	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2023_12_13%20%20WCC%20Hearing%20Continued.pdf
12/31/2023	🔒❌🟢	MISSING: Beta Final Peer Review Report		338-0756	Critical peer review analysis missing	BETA final peer review report for dam project	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2023_MISSING_BETA_Final_Peer_Review_Report.txt
1/10/2024	🟢🏛️	WCC Hearing Continued		338-0756	Procedural reset required due to extended delays	Applicant must re-notify abutters	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2024_01_10%20%20WCC%20Hearing%20Continued.pdf
5/6/2025	🟢⏰	Referenced in recent correspondence	**SOC expires**	338-0706	Critical regulatory protection expires; no valid development approval remains	3-year term ends for SOC #338-0706	
7/23/2025	❌🟢🏛️	❌WCC Meeting		338-0756	Major shift from settlement agreement; Delapa proposes dam removal instead of repair citing cost	Continued to September; significant change from original MOU	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2025_07_23_MISSING%20minutes%20conservation%20commission.pdf
7/29/2025	📧	DeMelle email to Catrone	Community input on current proceedings	338-0756	Email to WCC administrator		https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2025_07_29%20DeMelle%20email%20to%20Catrone
		USGIS Orthophoto View of Locus Site - Lot 2B Mill St	Visual site documentation	Historical	USGS orthophoto aerial view of Lot 2B Mill St		https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/USGIS%20Orthophoto%20View%20of%20Locus%20Site%20-%20Lot%202B%20Mill%20St.pdf
		USGS Site Locus - Lot 2B Mill St	Geographic reference documentation	Historical	USGS site location map for Lot 2B Mill St		https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/USGS%20Site%20Locus%20-%20Lot%202B%20Mill%20St.pdf
	📧	message from Abby McCabe					
		acceptance of service					
		Delapa Plan					
